name,type,full_name,full_path,code,parent_code
Minh Châu,xa,Xã Minh Châu,"Xã Minh Châu, Thành phố Hà Nội",267,11
Ngọc Hồi,xa,Xã Ngọc Hồi,"Xã Ngọc Hồi, Thành phố Hà Nội",523,11
Tây Mỗ,phuong,Phường Tây Mỗ,"Phường Tây Mỗ, Thành phố Hà Nội",779,11
Phú Diễn,phuong,Phường Phú Diễn,"Phường Phú Diễn, Thành phố Hà Nội",1035,11
Tây Tựu,phuong,Phường Tây Tựu,"Phường Tây Tựu, Thành phố Hà Nội",1291,11
Thượng Cát,phuong,Phường Thượng Cát,"Phường Thượng Cát, Thành phố Hà Nội",1547,11
Xuân Đỉnh,phuong,Phường Xuân Đỉnh,"Phường Xuân Đỉnh, Thành phố Hà Nội",1803,11
Xuân Phương,phuong,Phường Xuân Phương,"Phường Xuân Phương, Thành phố Hà Nội",2059,11
Đại Xuyên,xa,Xã Đại Xuyên,"Xã Đại Xuyên, Thành phố Hà Nội",2315,11
Phương Liệt,phuong,Phường Phương Liệt,"Phường Phương Liệt, Thành phố Hà Nội",2571,11
Tùng Thiện,phuong,Phường Tùng Thiện,"Phường Tùng Thiện, Thành phố Hà Nội",2827,11
Đoài Phương,xa,Xã Đoài Phương,"Xã Đoài Phương, Thành phố Hà Nội",3083,11
Gia Lâm,xa,Xã Gia Lâm,"Xã Gia Lâm, Thành phố Hà Nội",3339,11
Suối Hai,xa,Xã Suối Hai,"Xã Suối Hai, Thành phố Hà Nội",3595,11
Ba Vì,xa,Xã Ba Vì,"Xã Ba Vì, Thành phố Hà Nội",3851,11
Cổ Đô,xa,Xã Cổ Đô,"Xã Cổ Đô, Thành phố Hà Nội",4107,11
Hoàng Liệt,phuong,Phường Hoàng Liệt,"Phường Hoàng Liệt, Thành phố Hà Nội",4363,11
Lĩnh Nam,phuong,Phường Lĩnh Nam,"Phường Lĩnh Nam, Thành phố Hà Nội",4619,11
Tương Mai,phuong,Phường Tương Mai,"Phường Tương Mai, Thành phố Hà Nội",4875,11
Thanh Liệt,phuong,Phường Thanh Liệt,"Phường Thanh Liệt, Thành phố Hà Nội",5131,11
Đại Thanh,xa,Xã Đại Thanh,"Xã Đại Thanh, Thành phố Hà Nội",5387,11
Thường Tín,xa,Xã Thường Tín,"Xã Thường Tín, Thành phố Hà Nội",5643,11
Ô Diên,xa,Xã Ô Diên,"Xã Ô Diên, Thành phố Hà Nội",5899,11
Quảng Bị,xa,Xã Quảng Bị,"Xã Quảng Bị, Thành phố Hà Nội",6155,11
Trần Phú,xa,Xã Trần Phú,"Xã Trần Phú, Thành phố Hà Nội",6411,11
Liên Minh,xa,Xã Liên Minh,"Xã Liên Minh, Thành phố Hà Nội",6667,11
Thư Lâm,xa,Xã Thư Lâm,"Xã Thư Lâm, Thành phố Hà Nội",6923,11
Đông Anh,xa,Xã Đông Anh,"Xã Đông Anh, Thành phố Hà Nội",7179,11
Phú Xuyên,xa,Xã Phú Xuyên,"Xã Phú Xuyên, Thành phố Hà Nội",7435,11
Quảng Oai,xa,Xã Quảng Oai,"Xã Quảng Oai, Thành phố Hà Nội",7691,11
Dương Hòa,xa,Xã Dương Hòa,"Xã Dương Hòa, Thành phố Hà Nội",7947,11
Phúc Thịnh,xa,Xã Phúc Thịnh,"Xã Phúc Thịnh, Thành phố Hà Nội",8203,11
Vĩnh Thanh,xa,Xã Vĩnh Thanh,"Xã Vĩnh Thanh, Thành phố Hà Nội",8459,11
Thiên Lộc,xa,Xã Thiên Lộc,"Xã Thiên Lộc, Thành phố Hà Nội",8715,11
Quang Minh,xa,Xã Quang Minh,"Xã Quang Minh, Thành phố Hà Nội",8971,11
Hương Sơn,xa,Xã Hương Sơn,"Xã Hương Sơn, Thành phố Hà Nội",9227,11
Mê Linh,xa,Xã Mê Linh,"Xã Mê Linh, Thành phố Hà Nội",9483,11
Tiến Thắng,xa,Xã Tiến Thắng,"Xã Tiến Thắng, Thành phố Hà Nội",9739,11
Yên Lãng,xa,Xã Yên Lãng,"Xã Yên Lãng, Thành phố Hà Nội",9995,11
Mỹ Đức,xa,Xã Mỹ Đức,"Xã Mỹ Đức, Thành phố Hà Nội",10251,11
Định Công,phuong,Phường Định Công,"Phường Định Công, Thành phố Hà Nội",10507,11
Bất Bạt,xa,Xã Bất Bạt,"Xã Bất Bạt, Thành phố Hà Nội",10763,11
Vật Lại,xa,Xã Vật Lại,"Xã Vật Lại, Thành phố Hà Nội",11019,11
Yên Bài,xa,Xã Yên Bài,"Xã Yên Bài, Thành phố Hà Nội",11275,11
Chương Mỹ,phuong,Phường Chương Mỹ,"Phường Chương Mỹ, Thành phố Hà Nội",11531,11
Xuân Mai,xa,Xã Xuân Mai,"Xã Xuân Mai, Thành phố Hà Nội",11787,11
Phú Nghĩa,xa,Xã Phú Nghĩa,"Xã Phú Nghĩa, Thành phố Hà Nội",12043,11
Yên Xuân,xa,Xã Yên Xuân,"Xã Yên Xuân, Thành phố Hà Nội",12299,11
Phúc Lợi,phuong,Phường Phúc Lợi,"Phường Phúc Lợi, Thành phố Hà Nội",12555,11
Việt Hưng,phuong,Phường Việt Hưng,"Phường Việt Hưng, Thành phố Hà Nội",12811,11
Hòa Lạc,xa,Xã Hòa Lạc,"Xã Hòa Lạc, Thành phố Hà Nội",13067,11
Thanh Oai,xa,Xã Thanh Oai,"Xã Thanh Oai, Thành phố Hà Nội",13323,11
Bình Minh,xa,Xã Bình Minh,"Xã Bình Minh, Thành phố Hà Nội",13579,11
Dân Hòa,xa,Xã Dân Hòa,"Xã Dân Hòa, Thành phố Hà Nội",13835,11
Ba Đình,phuong,Phường Ba Đình,"Phường Ba Đình, Thành phố Hà Nội",14091,11
Giảng Võ,phuong,Phường Giảng Võ,"Phường Giảng Võ, Thành phố Hà Nội",14347,11
Ngọc Hà,phuong,Phường Ngọc Hà,"Phường Ngọc Hà, Thành phố Hà Nội",14603,11
Cầu Giấy,phuong,Phường Cầu Giấy,"Phường Cầu Giấy, Thành phố Hà Nội",14859,11
Nghĩa Đô,phuong,Phường Nghĩa Đô,"Phường Nghĩa Đô, Thành phố Hà Nội",15115,11
Phù Đổng,xa,Xã Phù Đổng,"Xã Phù Đổng, Thành phố Hà Nội",15371,11
Hoài Đức,xa,Xã Hoài Đức,"Xã Hoài Đức, Thành phố Hà Nội",15627,11
An Khánh,xa,Xã An Khánh,"Xã An Khánh, Thành phố Hà Nội",15883,11
Phúc Sơn,xa,Xã Phúc Sơn,"Xã Phúc Sơn, Thành phố Hà Nội",16139,11
Sơn Đồng,xa,Xã Sơn Đồng,"Xã Sơn Đồng, Thành phố Hà Nội",16395,11
Chuyên Mỹ,xa,Xã Chuyên Mỹ,"Xã Chuyên Mỹ, Thành phố Hà Nội",16651,11
Vĩnh Tuy,phuong,Phường Vĩnh Tuy,"Phường Vĩnh Tuy, Thành phố Hà Nội",16907,11
Hồng Hà,phuong,Phường Hồng Hà,"Phường Hồng Hà, Thành phố Hà Nội",17163,11
Cửa Nam,phuong,Phường Cửa Nam,"Phường Cửa Nam, Thành phố Hà Nội",17419,11
Yên Nghĩa,phuong,Phường Yên Nghĩa,"Phường Yên Nghĩa, Thành phố Hà Nội",17675,11
Hồng Vân,xa,Xã Hồng Vân,"Xã Hồng Vân, Thành phố Hà Nội",17931,11
Vĩnh Hưng,phuong,Phường Vĩnh Hưng,"Phường Vĩnh Hưng, Thành phố Hà Nội",18187,11
Bồ Đề,phuong,Phường Bồ Đề,"Phường Bồ Đề, Thành phố Hà Nội",18443,11
Kiều Phú,xa,Xã Kiều Phú,"Xã Kiều Phú, Thành phố Hà Nội",18699,11
Phú Cát,xa,Xã Phú Cát,"Xã Phú Cát, Thành phố Hà Nội",18955,11
Sóc Sơn,xa,Xã Sóc Sơn,"Xã Sóc Sơn, Thành phố Hà Nội",19211,11
Kim Anh,xa,Xã Kim Anh,"Xã Kim Anh, Thành phố Hà Nội",19467,11
Nội Bài,xa,Xã Nội Bài,"Xã Nội Bài, Thành phố Hà Nội",19723,11
Trung Giã,xa,Xã Trung Giã,"Xã Trung Giã, Thành phố Hà Nội",19979,11
Quốc Oai,xa,Xã Quốc Oai,"Xã Quốc Oai, Thành phố Hà Nội",20235,11
Long Biên,phuong,Phường Long Biên,"Phường Long Biên, Thành phố Hà Nội",20491,11
Khương Đình,phuong,Phường Khương Đình,"Phường Khương Đình, Thành phố Hà Nội",20747,11
Phú Lương,phuong,Phường Phú Lương,"Phường Phú Lương, Thành phố Hà Nội",21003,11
Dương Nội,phuong,Phường Dương Nội,"Phường Dương Nội, Thành phố Hà Nội",21259,11
Kiến Hưng,phuong,Phường Kiến Hưng,"Phường Kiến Hưng, Thành phố Hà Nội",21515,11
Hà Đông,phuong,Phường Hà Đông,"Phường Hà Đông, Thành phố Hà Nội",21771,11
Hai Bà Trưng,phuong,Phường Hai Bà Trưng,"Phường Hai Bà Trưng, Thành phố Hà Nội",22027,11
Thượng Phúc,xa,Xã Thượng Phúc,"Xã Thượng Phúc, Thành phố Hà Nội",22283,11
Thạch Thất,xa,Xã Thạch Thất,"Xã Thạch Thất, Thành phố Hà Nội",22539,11
Hạ Bằng,xa,Xã Hạ Bằng,"Xã Hạ Bằng, Thành phố Hà Nội",22795,11
Nam Phù,xa,Xã Nam Phù,"Xã Nam Phù, Thành phố Hà Nội",23051,11
Thanh Trì,xa,Xã Thanh Trì,"Xã Thanh Trì, Thành phố Hà Nội",23307,11
Đại Mỗ,phuong,Phường Đại Mỗ,"Phường Đại Mỗ, Thành phố Hà Nội",23563,11
Vân Đình,xa,Xã Vân Đình,"Xã Vân Đình, Thành phố Hà Nội",23819,11
Yên Hòa,phuong,Phường Yên Hòa,"Phường Yên Hòa, Thành phố Hà Nội",24075,11
Ô Chợ Dừa,phuong,Phường Ô Chợ Dừa,"Phường Ô Chợ Dừa, Thành phố Hà Nội",24331,11
Kim Liên,phuong,Phường Kim Liên,"Phường Kim Liên, Thành phố Hà Nội",24587,11
Láng,phuong,Phường Láng,"Phường Láng, Thành phố Hà Nội",24843,11
Đống Đa,phuong,Phường Đống Đa,"Phường Đống Đa, Thành phố Hà Nội",25099,11
Văn Miếu-Quốc Tử Giám,phuong,Phường Văn Miếu-Quốc Tử Giám,"Phường Văn Miếu-Quốc Tử Giám, Thành phố Hà Nội",25355,11
Phú Thượng,phuong,Phường Phú Thượng,"Phường Phú Thượng, Thành phố Hà Nội",25611,11
Hoàng Mai,phuong,Phường Hoàng Mai,"Phường Hoàng Mai, Thành phố Hà Nội",25867,11
Từ Liêm,phuong,Phường Từ Liêm,"Phường Từ Liêm, Thành phố Hà Nội",26123,11
Đông Ngạc,phuong,Phường Đông Ngạc,"Phường Đông Ngạc, Thành phố Hà Nội",26379,11
Hòa Phú,xa,Xã Hòa Phú,"Xã Hòa Phú, Thành phố Hà Nội",26635,11
Tây Phương,xa,Xã Tây Phương,"Xã Tây Phương, Thành phố Hà Nội",26891,11
Hòa Xá,xa,Xã Hòa Xá,"Xã Hòa Xá, Thành phố Hà Nội",27147,11
Bát Tràng,xa,Xã Bát Tràng,"Xã Bát Tràng, Thành phố Hà Nội",27403,11
Thuận An,xa,Xã Thuận An,"Xã Thuận An, Thành phố Hà Nội",27659,11
Bạch Mai,phuong,Phường Bạch Mai,"Phường Bạch Mai, Thành phố Hà Nội",27915,11
Thanh Xuân,phuong,Phường Thanh Xuân,"Phường Thanh Xuân, Thành phố Hà Nội",28171,11
Sơn Tây,phuong,Phường Sơn Tây,"Phường Sơn Tây, Thành phố Hà Nội",28427,11
Đan Phượng,xa,Xã Đan Phượng,"Xã Đan Phượng, Thành phố Hà Nội",28683,11
Chương Dương,xa,Xã Chương Dương,"Xã Chương Dương, Thành phố Hà Nội",28939,11
Phượng Dực,xa,Xã Phượng Dực,"Xã Phượng Dực, Thành phố Hà Nội",29195,11
Ứng Thiên,xa,Xã Ứng Thiên,"Xã Ứng Thiên, Thành phố Hà Nội",29451,11
Hồng Sơn,xa,Xã Hồng Sơn,"Xã Hồng Sơn, Thành phố Hà Nội",29707,11
Hưng Đạo,xa,Xã Hưng Đạo,"Xã Hưng Đạo, Thành phố Hà Nội",29963,11
Tam Hưng,xa,Xã Tam Hưng,"Xã Tam Hưng, Thành phố Hà Nội",30219,11
Ứng Hòa,xa,Xã Ứng Hòa,"Xã Ứng Hòa, Thành phố Hà Nội",30475,11
Hát Môn,xa,Xã Hát Môn,"Xã Hát Môn, Thành phố Hà Nội",30731,11
Phúc Thọ,xa,Xã Phúc Thọ,"Xã Phúc Thọ, Thành phố Hà Nội",30987,11
Đa Phúc,xa,Xã Đa Phúc,"Xã Đa Phúc, Thành phố Hà Nội",31243,11
Phúc Lộc,xa,Xã Phúc Lộc,"Xã Phúc Lộc, Thành phố Hà Nội",31499,11
Hoàn Kiếm,phuong,Phường Hoàn Kiếm,"Phường Hoàn Kiếm, Thành phố Hà Nội",31755,11
Yên Sở,phuong,Phường Yên Sở,"Phường Yên Sở, Thành phố Hà Nội",32011,11
Tây Hồ,phuong,Phường Tây Hồ,"Phường Tây Hồ, Thành phố Hà Nội",32267,11
Thạnh An,xa,Xã Thạnh An,"Xã Thạnh An, Thành phố Hồ Chí Minh",268,12
Xóm Chiếu,phuong,Phường Xóm Chiếu,"Phường Xóm Chiếu, Thành phố Hồ Chí Minh",524,12
Vĩnh Hội,phuong,Phường Vĩnh Hội,"Phường Vĩnh Hội, Thành phố Hồ Chí Minh",780,12
Khánh Hội,phuong,Phường Khánh Hội,"Phường Khánh Hội, Thành phố Hồ Chí Minh",1036,12
Bình Chánh,xa,Xã Bình Chánh,"Xã Bình Chánh, Thành phố Hồ Chí Minh",1292,12
Vĩnh Lộc,xa,Xã Vĩnh Lộc,"Xã Vĩnh Lộc, Thành phố Hồ Chí Minh",1548,12
Tân Vĩnh Lộc,xa,Xã Tân Vĩnh Lộc,"Xã Tân Vĩnh Lộc, Thành phố Hồ Chí Minh",1804,12
An Thới Đông,xa,Xã An Thới Đông,"Xã An Thới Đông, Thành phố Hồ Chí Minh",2060,12
Bình Khánh,xa,Xã Bình Khánh,"Xã Bình Khánh, Thành phố Hồ Chí Minh",2316,12
Bàn Cờ,phuong,Phường Bàn Cờ,"Phường Bàn Cờ, Thành phố Hồ Chí Minh",2572,12
Xuân Hòa,phuong,Phường Xuân Hòa,"Phường Xuân Hòa, Thành phố Hồ Chí Minh",2828,12
Bình Đông,phuong,Phường Bình Đông,"Phường Bình Đông, Thành phố Hồ Chí Minh",3084,12
Phú Thuận,phuong,Phường Phú Thuận,"Phường Phú Thuận, Thành phố Hồ Chí Minh",3340,12
Tân Mỹ,phuong,Phường Tân Mỹ,"Phường Tân Mỹ, Thành phố Hồ Chí Minh",3596,12
Phú Định,phuong,Phường Phú Định,"Phường Phú Định, Thành phố Hồ Chí Minh",3852,12
Chánh Hưng,phuong,Phường Chánh Hưng,"Phường Chánh Hưng, Thành phố Hồ Chí Minh",4108,12
Long Bình,phuong,Phường Long Bình,"Phường Long Bình, Thành phố Hồ Chí Minh",4364,12
Tăng Nhơn Phú,phuong,Phường Tăng Nhơn Phú,"Phường Tăng Nhơn Phú, Thành phố Hồ Chí Minh",4620,12
Bình Tân,phuong,Phường Bình Tân,"Phường Bình Tân, Thành phố Hồ Chí Minh",4876,12
Bình Trị Đông,phuong,Phường Bình Trị Đông,"Phường Bình Trị Đông, Thành phố Hồ Chí Minh",5132,12
Phú Giáo,xa,Xã Phú Giáo,"Xã Phú Giáo, Thành phố Hồ Chí Minh",5388,12
Bình Hưng,xa,Xã Bình Hưng,"Xã Bình Hưng, Thành phố Hồ Chí Minh",5644,12
Thường Tân,xa,Xã Thường Tân,"Xã Thường Tân, Thành phố Hồ Chí Minh",5900,12
Phú Nhuận,phuong,Phường Phú Nhuận,"Phường Phú Nhuận, Thành phố Hồ Chí Minh",6156,12
Cầu Kiệu,phuong,Phường Cầu Kiệu,"Phường Cầu Kiệu, Thành phố Hồ Chí Minh",6412,12
Tân Bình,phuong,Phường Tân Bình,"Phường Tân Bình, Thành phố Hồ Chí Minh",6668,12
Phú Thạnh,phuong,Phường Phú Thạnh,"Phường Phú Thạnh, Thành phố Hồ Chí Minh",6924,12
Tân Định,phuong,Phường Tân Định,"Phường Tân Định, Thành phố Hồ Chí Minh",7180,12
Cầu Ông Lãnh,phuong,Phường Cầu Ông Lãnh,"Phường Cầu Ông Lãnh, Thành phố Hồ Chí Minh",7436,12
Sài Gòn,phuong,Phường Sài Gòn,"Phường Sài Gòn, Thành phố Hồ Chí Minh",7692,12
Bến Thành,phuong,Phường Bến Thành,"Phường Bến Thành, Thành phố Hồ Chí Minh",7948,12
Diên Hồng,phuong,Phường Diên Hồng,"Phường Diên Hồng, Thành phố Hồ Chí Minh",8204,12
Hòa Hưng,phuong,Phường Hòa Hưng,"Phường Hòa Hưng, Thành phố Hồ Chí Minh",8460,12
Bình Thới,phuong,Phường Bình Thới,"Phường Bình Thới, Thành phố Hồ Chí Minh",8716,12
Phú Thọ,phuong,Phường Phú Thọ,"Phường Phú Thọ, Thành phố Hồ Chí Minh",8972,12
Bình Phú,phuong,Phường Bình Phú,"Phường Bình Phú, Thành phố Hồ Chí Minh",9228,12
Tân Sơn Nhì,phuong,Phường Tân Sơn Nhì,"Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh",9484,12
Tây Thạnh,phuong,Phường Tây Thạnh,"Phường Tây Thạnh, Thành phố Hồ Chí Minh",9740,12
Thủ Đức,phuong,Phường Thủ Đức,"Phường Thủ Đức, Thành phố Hồ Chí Minh",9996,12
Hiệp Bình,phuong,Phường Hiệp Bình,"Phường Hiệp Bình, Thành phố Hồ Chí Minh",10252,12
Linh Xuân,phuong,Phường Linh Xuân,"Phường Linh Xuân, Thành phố Hồ Chí Minh",10508,12
Bình Trưng,phuong,Phường Bình Trưng,"Phường Bình Trưng, Thành phố Hồ Chí Minh",10764,12
An Khánh,phuong,Phường An Khánh,"Phường An Khánh, Thành phố Hồ Chí Minh",11020,12
Phú An,phuong,Phường Phú An,"Phường Phú An, Thành phố Hồ Chí Minh",11276,12
Thuận Giao,phuong,Phường Thuận Giao,"Phường Thuận Giao, Thành phố Hồ Chí Minh",11532,12
Bình Hòa,phuong,Phường Bình Hòa,"Phường Bình Hòa, Thành phố Hồ Chí Minh",11788,12
Thủ Dầu Một,phuong,Phường Thủ Dầu Một,"Phường Thủ Dầu Một, Thành phố Hồ Chí Minh",12044,12
Lái Thiêu,phuong,Phường Lái Thiêu,"Phường Lái Thiêu, Thành phố Hồ Chí Minh",12300,12
An Phú,phuong,Phường An Phú,"Phường An Phú, Thành phố Hồ Chí Minh",12556,12
Rạch Dừa,phuong,Phường Rạch Dừa,"Phường Rạch Dừa, Thành phố Hồ Chí Minh",12812,12
Long Hòa,xa,Xã Long Hòa,"Xã Long Hòa, Thành phố Hồ Chí Minh",13068,12
Minh Thạnh,xa,Xã Minh Thạnh,"Xã Minh Thạnh, Thành phố Hồ Chí Minh",13324,12
Tân Tạo,phuong,Phường Tân Tạo,"Phường Tân Tạo, Thành phố Hồ Chí Minh",13580,12
Long Nguyên,phuong,Phường Long Nguyên,"Phường Long Nguyên, Thành phố Hồ Chí Minh",13836,12
Trừ Văn Thố,xa,Xã Trừ Văn Thố,"Xã Trừ Văn Thố, Thành phố Hồ Chí Minh",14092,12
Bến Cát,phuong,Phường Bến Cát,"Phường Bến Cát, Thành phố Hồ Chí Minh",14348,12
Dầu Tiếng,xa,Xã Dầu Tiếng,"Xã Dầu Tiếng, Thành phố Hồ Chí Minh",14604,12
Tân Khánh,phuong,Phường Tân Khánh,"Phường Tân Khánh, Thành phố Hồ Chí Minh",14860,12
Tân Uyên,phuong,Phường Tân Uyên,"Phường Tân Uyên, Thành phố Hồ Chí Minh",15116,12
Phước Hòa,xa,Xã Phước Hòa,"Xã Phước Hòa, Thành phố Hồ Chí Minh",15372,12
Chánh Hiệp,phuong,Phường Chánh Hiệp,"Phường Chánh Hiệp, Thành phố Hồ Chí Minh",15628,12
Thới Hòa,phuong,Phường Thới Hòa,"Phường Thới Hòa, Thành phố Hồ Chí Minh",15884,12
Tây Nam,phuong,Phường Tây Nam,"Phường Tây Nam, Thành phố Hồ Chí Minh",16140,12
Thanh An,xa,Xã Thanh An,"Xã Thanh An, Thành phố Hồ Chí Minh",16396,12
Tân Nhựt,xa,Xã Tân Nhựt,"Xã Tân Nhựt, Thành phố Hồ Chí Minh",16652,12
Dĩ An,phuong,Phường Dĩ An,"Phường Dĩ An, Thành phố Hồ Chí Minh",16908,12
Tân Đông Hiệp,phuong,Phường Tân Đông Hiệp,"Phường Tân Đông Hiệp, Thành phố Hồ Chí Minh",17164,12
Phú Lợi,phuong,Phường Phú Lợi,"Phường Phú Lợi, Thành phố Hồ Chí Minh",17420,12
Đặc Khu Côn Đảo,xa,Xã Đặc Khu Côn Đảo,"Xã Đặc Khu Côn Đảo, Thành phố Hồ Chí Minh",17676,12
Long Điền,xa,Xã Long Điền,"Xã Long Điền, Thành phố Hồ Chí Minh",17932,12
Bình Hưng Hòa,phuong,Phường Bình Hưng Hòa,"Phường Bình Hưng Hòa, Thành phố Hồ Chí Minh",18188,12
Nhiêu Lộc,phuong,Phường Nhiêu Lộc,"Phường Nhiêu Lộc, Thành phố Hồ Chí Minh",18444,12
Chợ Quán,phuong,Phường Chợ Quán,"Phường Chợ Quán, Thành phố Hồ Chí Minh",18700,12
An Đông,phuong,Phường An Đông,"Phường An Đông, Thành phố Hồ Chí Minh",18956,12
Chợ Lớn,phuong,Phường Chợ Lớn,"Phường Chợ Lớn, Thành phố Hồ Chí Minh",19212,12
Bình Tiên,phuong,Phường Bình Tiên,"Phường Bình Tiên, Thành phố Hồ Chí Minh",19468,12
Phú Lâm,phuong,Phường Phú Lâm,"Phường Phú Lâm, Thành phố Hồ Chí Minh",19724,12
Tân Hưng,phuong,Phường Tân Hưng,"Phường Tân Hưng, Thành phố Hồ Chí Minh",19980,12
Tân Thuận,phuong,Phường Tân Thuận,"Phường Tân Thuận, Thành phố Hồ Chí Minh",20236,12
Vườn Lài,phuong,Phường Vườn Lài,"Phường Vườn Lài, Thành phố Hồ Chí Minh",20492,12
Minh Phụng,phuong,Phường Minh Phụng,"Phường Minh Phụng, Thành phố Hồ Chí Minh",20748,12
Hòa Bình,phuong,Phường Hòa Bình,"Phường Hòa Bình, Thành phố Hồ Chí Minh",21004,12
Đông Hưng Thuận,phuong,Phường Đông Hưng Thuận,"Phường Đông Hưng Thuận, Thành phố Hồ Chí Minh",21260,12
Trung Mỹ Tây,phuong,Phường Trung Mỹ Tây,"Phường Trung Mỹ Tây, Thành phố Hồ Chí Minh",21516,12
Tân Thới Hiệp,phuong,Phường Tân Thới Hiệp,"Phường Tân Thới Hiệp, Thành phố Hồ Chí Minh",21772,12
Thới An,phuong,Phường Thới An,"Phường Thới An, Thành phố Hồ Chí Minh",22028,12
An Phú Đông,phuong,Phường An Phú Đông,"Phường An Phú Đông, Thành phố Hồ Chí Minh",22284,12
Gia Định,phuong,Phường Gia Định,"Phường Gia Định, Thành phố Hồ Chí Minh",22540,12
Bình Thạnh,phuong,Phường Bình Thạnh,"Phường Bình Thạnh, Thành phố Hồ Chí Minh",22796,12
Bình Lợi Trung,phuong,Phường Bình Lợi Trung,"Phường Bình Lợi Trung, Thành phố Hồ Chí Minh",23052,12
Thạnh Mỹ Tây,phuong,Phường Thạnh Mỹ Tây,"Phường Thạnh Mỹ Tây, Thành phố Hồ Chí Minh",23308,12
Bình Quới,phuong,Phường Bình Quới,"Phường Bình Quới, Thành phố Hồ Chí Minh",23564,12
An Lạc,phuong,Phường An Lạc,"Phường An Lạc, Thành phố Hồ Chí Minh",23820,12
Hạnh Thông,phuong,Phường Hạnh Thông,"Phường Hạnh Thông, Thành phố Hồ Chí Minh",24076,12
An Nhơn,phuong,Phường An Nhơn,"Phường An Nhơn, Thành phố Hồ Chí Minh",24332,12
Gò Vấp,phuong,Phường Gò Vấp,"Phường Gò Vấp, Thành phố Hồ Chí Minh",24588,12
Thông Tây Hội,phuong,Phường Thông Tây Hội,"Phường Thông Tây Hội, Thành phố Hồ Chí Minh",24844,12
An Hội Tây,phuong,Phường An Hội Tây,"Phường An Hội Tây, Thành phố Hồ Chí Minh",25100,12
An Hội Đông,phuong,Phường An Hội Đông,"Phường An Hội Đông, Thành phố Hồ Chí Minh",25356,12
Đức Nhuận,phuong,Phường Đức Nhuận,"Phường Đức Nhuận, Thành phố Hồ Chí Minh",25612,12
Tân Sơn Hòa,phuong,Phường Tân Sơn Hòa,"Phường Tân Sơn Hòa, Thành phố Hồ Chí Minh",25868,12
Tân Sơn Nhất,phuong,Phường Tân Sơn Nhất,"Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh",26124,12
Tân Hòa,phuong,Phường Tân Hòa,"Phường Tân Hòa, Thành phố Hồ Chí Minh",26380,12
Bảy Hiền,phuong,Phường Bảy Hiền,"Phường Bảy Hiền, Thành phố Hồ Chí Minh",26636,12
Bình Lợi,xa,Xã Bình Lợi,"Xã Bình Lợi, Thành phố Hồ Chí Minh",26892,12
Hưng Long,xa,Xã Hưng Long,"Xã Hưng Long, Thành phố Hồ Chí Minh",27148,12
An Nhơn Tây,xa,Xã An Nhơn Tây,"Xã An Nhơn Tây, Thành phố Hồ Chí Minh",27404,12
Thái Mỹ,xa,Xã Thái Mỹ,"Xã Thái Mỹ, Thành phố Hồ Chí Minh",27660,12
Nhuận Đức,xa,Xã Nhuận Đức,"Xã Nhuận Đức, Thành phố Hồ Chí Minh",27916,12
Tân An Hội,xa,Xã Tân An Hội,"Xã Tân An Hội, Thành phố Hồ Chí Minh",28172,12
Củ Chi,xa,Xã Củ Chi,"Xã Củ Chi, Thành phố Hồ Chí Minh",28428,12
Phú Hòa Đông,xa,Xã Phú Hòa Đông,"Xã Phú Hòa Đông, Thành phố Hồ Chí Minh",28684,12
Bình Mỹ,xa,Xã Bình Mỹ,"Xã Bình Mỹ, Thành phố Hồ Chí Minh",28940,12
Cần Giờ,xa,Xã Cần Giờ,"Xã Cần Giờ, Thành phố Hồ Chí Minh",29196,12
Đông Thạnh,xa,Xã Đông Thạnh,"Xã Đông Thạnh, Thành phố Hồ Chí Minh",29452,12
Hóc Môn,xa,Xã Hóc Môn,"Xã Hóc Môn, Thành phố Hồ Chí Minh",29708,12
Xuân Thới Sơn,xa,Xã Xuân Thới Sơn,"Xã Xuân Thới Sơn, Thành phố Hồ Chí Minh",29964,12
Bà Điểm,xa,Xã Bà Điểm,"Xã Bà Điểm, Thành phố Hồ Chí Minh",30220,12
Nhà Bè,xa,Xã Nhà Bè,"Xã Nhà Bè, Thành phố Hồ Chí Minh",30476,12
Hiệp Phước,xa,Xã Hiệp Phước,"Xã Hiệp Phước, Thành phố Hồ Chí Minh",30732,12
Tam Bình,phuong,Phường Tam Bình,"Phường Tam Bình, Thành phố Hồ Chí Minh",30988,12
Phước Long,phuong,Phường Phước Long,"Phường Phước Long, Thành phố Hồ Chí Minh",31244,12
Long Phước,phuong,Phường Long Phước,"Phường Long Phước, Thành phố Hồ Chí Minh",31500,12
Long Trường,phuong,Phường Long Trường,"Phường Long Trường, Thành phố Hồ Chí Minh",31756,12
Cát Lái,phuong,Phường Cát Lái,"Phường Cát Lái, Thành phố Hồ Chí Minh",32012,12
Bình Tây,phuong,Phường Bình Tây,"Phường Bình Tây, Thành phố Hồ Chí Minh",32268,12
Tân Sơn,phuong,Phường Tân Sơn,"Phường Tân Sơn, Thành phố Hồ Chí Minh",32524,12
Phú Thọ Hòa,phuong,Phường Phú Thọ Hòa,"Phường Phú Thọ Hòa, Thành phố Hồ Chí Minh",32780,12
