name,type,full_name,full_path,code,parent_code
Văn Bàn,xa,Xã Văn Bàn,"Xã Văn Bàn, Tỉnh Lào Cai",20000,32
Dương Quỳ,xa,Xã Dương Quỳ,"Xã Dương Quỳ, Tỉnh Lào Cai",20256,32
Chiềng Ken,xa,Xã Chiềng Ken,"Xã Chiềng Ken, Tỉnh Lào Cai",20512,32
Minh Lương,xa,Xã Minh Lương,"Xã Minh Lương, Tỉnh Lào Cai",20768,32
Nậm Chầy,xa,Xã Nậm Chầy,"Xã Nậm Chầy, Tỉnh Lào Cai",21024,32
Mường Bo,xa,Xã Mường Bo,"Xã Mường Bo, Tỉnh Lào Cai",21280,32
Bản Hồ,xa,Xã Bản Hồ,"Xã Bản Hồ, Tỉnh Lào Cai",21536,32
Sa Pa,phuong,Phường Sa Pa,"Phường Sa Pa, Tỉnh Lào Cai",21792,32
Tả Phìn,xa,Xã Tả Phìn,"Xã Tả Phìn, Tỉnh Lào Cai",22048,32
Tả Van,xa,Xã Tả Van,"Xã Tả Van, Tỉnh Lào Cai",22304,32
Cốc Lầu,xa,Xã Cốc Lầu,"Xã Cốc Lầu, Tỉnh Lào Cai",22560,32
Bảo Nhai,xa,Xã Bảo Nhai,"Xã Bảo Nhai, Tỉnh Lào Cai",22816,32
Bản Liền,xa,Xã Bản Liền,"Xã Bản Liền, Tỉnh Lào Cai",23072,32
Bắc Hà,xa,Xã Bắc Hà,"Xã Bắc Hà, Tỉnh Lào Cai",23328,32
Tả Củ Tỷ,xa,Xã Tả Củ Tỷ,"Xã Tả Củ Tỷ, Tỉnh Lào Cai",23584,32
Lùng Phình,xa,Xã Lùng Phình,"Xã Lùng Phình, Tỉnh Lào Cai",23840,32
Pha Long,xa,Xã Pha Long,"Xã Pha Long, Tỉnh Lào Cai",24096,32
Mường Khương,xa,Xã Mường Khương,"Xã Mường Khương, Tỉnh Lào Cai",24352,32
Bản Lầu,xa,Xã Bản Lầu,"Xã Bản Lầu, Tỉnh Lào Cai",24608,32
Cao Sơn,xa,Xã Cao Sơn,"Xã Cao Sơn, Tỉnh Lào Cai",24864,32
Si Ma Cai,xa,Xã Si Ma Cai,"Xã Si Ma Cai, Tỉnh Lào Cai",25120,32
Sín Chéng,xa,Xã Sín Chéng,"Xã Sín Chéng, Tỉnh Lào Cai",25376,32
Hữu Khuông,xa,Xã Hữu Khuông,"Xã Hữu Khuông, Tỉnh Nghệ An",289,33
Huồi Tụ,xa,Xã Huồi Tụ,"Xã Huồi Tụ, Tỉnh Nghệ An",545,33
Bắc Lý,xa,Xã Bắc Lý,"Xã Bắc Lý, Tỉnh Nghệ An",801,33
Keng Đu,xa,Xã Keng Đu,"Xã Keng Đu, Tỉnh Nghệ An",1057,33
Mường Lống,xa,Xã Mường Lống,"Xã Mường Lống, Tỉnh Nghệ An",1313,33
Mỹ Lý,xa,Xã Mỹ Lý,"Xã Mỹ Lý, Tỉnh Nghệ An",1569,33
Bình Chuẩn,xa,Xã Bình Chuẩn,"Xã Bình Chuẩn, Tỉnh Nghệ An",1825,33
Châu Bình,xa,Xã Châu Bình,"Xã Châu Bình, Tỉnh Nghệ An",2081,33
Lưỡng Minh,xa,Xã Lưỡng Minh,"Xã Lưỡng Minh, Tỉnh Nghệ An",2337,33
Quỳnh Anh,xa,Xã Quỳnh Anh,"Xã Quỳnh Anh, Tỉnh Nghệ An",2593,33
